PCAS,logKdoc,Category,CrippenLogP,SlogP_VSA1,ErGFP285_RDKit,FCFPs2048_1787_RDKit,RDKFP97_RDKit,RDKFP1999_RDKit,ExtFP215,SECFP1727_RDKit,ExtFP979,RDKFP870_RDKit,SECFP1805_RDKit,PharmFP16632_RDKit,SECFP617_RDKit,MATS2m,PatternFP730_RDKit,PatternFP654_RDKit,FuncFP3064_RDKit,SECFP1315_RDKit,RDKFP1925_RDKit,FuncFP2428_RDKit,GraphFP554,RDKFP834_RDKit,Mor29m_R,PatternFP1783_RDKit,RDKFP629_RDKit,ECFPs1024_998_RDKit,RDKFP2034_RDKit
p000001,3.62,3,3.3668,0,0,0,0,0,0,0,0,0,0,0,0,-0.232638889,0,0,0,0,0,0,1,0,-0.11,0,0,0,0
p000001,4.34,3,3.3668,0,0,0,0,0,0,0,0,0,0,0,0,-0.232638889,0,0,0,0,0,0,1,0,-0.11,0,0,0,0
p000002,4.06,3,3.6444,0,0,0,0,0,0,0,1,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0.514,0,0,0,0
p000003,2.93,3,2.8398,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,1,0,0,0,0,0,0
p000003,3.29,3,2.8398,0,0,0,0,0,0,0,0,0,0,0,0,-0.16,0,0,0,0,0,0,1,0,0,0,0,0,0
p000004,4.74,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.29,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.17,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.43,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.16,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.53,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
p000004,4.25,1,3.993,0,0,0,0,0,0,0,0,0,0,0,0,-0.102040816,0,0,0,0,0,0,1,0,0.045,0,0,0,0
